"","Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","day"
"35988",2016-01-01,"SydneyAirport",18.6,26.5,0,11,12.3,"NE",41,"W","ENE",9,28,61,48,1016.4,1013.6,6,4,22.3,25.4,"No","No",1
"35989",2016-01-02,"SydneyAirport",18.1,25.3,0,6.8,3.3,"E",31,"S","SE",6,19,68,57,1013.4,1012.5,7,7,21.1,23.8,"No","No",2
"35990",2016-01-03,"SydneyAirport",19.9,24.3,0,8,0,"SE",56,"SSE","SSE",26,30,65,75,1015.2,1014.5,8,8,22.2,22.5,"No","Yes",3
"35991",2016-01-04,"SydneyAirport",20.2,25.4,3.6,6.4,0.7,"ESE",48,"E","NE",13,20,85,94,1016.9,1016.5,8,8,20.7,18.7,"Yes","Yes",4
"35992",2016-01-05,"SydneyAirport",17.6,21,51.2,0,0,"ESE",54,"ESE","SE",24,31,83,91,1016.9,1014.9,8,8,19.4,19.9,"Yes","Yes",5
"35993",2016-01-06,"SydneyAirport",17.2,19.2,35.6,8,0,"S",63,"SSE","SSE",28,31,94,93,1012.4,1011.7,8,8,18.5,18.1,"Yes","Yes",6
"35994",2016-01-07,"SydneyAirport",16.9,22.3,36.4,2,7.6,"SSW",65,"SSW","SSW",35,39,85,78,1014.1,1015.8,7,7,18.2,19.4,"Yes","No",7
"35996",2016-01-09,"SydneyAirport",18.7,26,0,7,8.6,"E",35,"WNW","ENE",7,26,69,49,1021.9,1018.6,5,6,21.1,25.3,"No","No",9
"35997",2016-01-10,"SydneyAirport",19.1,28.8,0,8,12.2,"NE",50,"NNW","NE",13,30,64,49,1020.3,1017.2,3,1,24,27.7,"No","No",10
"35998",2016-01-11,"SydneyAirport",21.1,34.6,0,9,12.1,"NNE",43,"NNW","NE",13,30,65,44,1013.2,1008.7,1,1,25.9,33.2,"No","No",11
"35999",2016-01-12,"SydneyAirport",23.7,33.6,0,10.6,4.4,"S",70,"NNW","S",13,37,51,84,1010.2,1012.4,6,7,29,23.8,"No","No",12
"36000",2016-01-13,"SydneyAirport",21.1,31.1,0,6,11,"NNE",46,"ESE","ENE",4,28,67,58,1019.6,1015.9,3,1,23.6,27.2,"No","No",13
"36002",2016-01-15,"SydneyAirport",14.3,20.4,27.4,12.2,2.7,"S",69,"WSW","SSE",19,39,92,74,1024.6,1024.1,8,7,14.5,19.4,"Yes","Yes",15
"36003",2016-01-16,"SydneyAirport",14.4,22.9,7,6,7.2,"SSW",52,"SSE","SSE",19,24,65,49,1027,1026.3,7,5,19.4,22.2,"Yes","No",16
"36004",2016-01-17,"SydneyAirport",16.3,25.1,0.4,5.6,11.8,"S",37,"S","SE",24,20,74,48,1025.2,1022.8,6,4,20.6,24,"No","No",17
"36005",2016-01-18,"SydneyAirport",17.2,27.6,0,7,13.5,"ENE",39,"S","ENE",9,24,68,50,1020.6,1017.5,2,2,21.4,25.5,"No","No",18
"36006",2016-01-19,"SydneyAirport",19.1,33.3,0,8,13,"NE",44,"NW","NE",17,24,62,39,1017.3,1012.8,3,3,24.5,32.2,"No","No",19
"36007",2016-01-20,"SydneyAirport",22.2,40.3,0,11.8,10,"S",56,"WNW","NE",9,26,37,27,1012.4,1009.3,1,6,29.1,36.3,"No","No",20
"36008",2016-01-21,"SydneyAirport",23.4,37.8,0,11.6,6.9,"SW",65,"NNW","ENE",7,30,58,32,1010.4,1006.8,5,4,28.1,36.7,"No","Yes",21
"36009",2016-01-22,"SydneyAirport",22.7,26.9,22.8,10.4,1.4,"SSE",43,"SSW","ESE",19,17,90,81,1010.8,1006.1,7,7,24.2,25.8,"Yes","Yes",22
"36010",2016-01-23,"SydneyAirport",22.5,24.7,22.6,3.4,9.5,"SSW",52,"S","SSW",31,39,85,73,1006.9,1008.7,3,6,23.7,23.5,"Yes","No",23
"36011",2016-01-24,"SydneyAirport",20.2,25.3,1,6.6,0.6,"SW",37,"SW","SSE",17,17,82,66,1013.5,1012.1,8,7,21.2,23.6,"No","No",24
"36012",2016-01-25,"SydneyAirport",21.1,25,0,4.6,0,"NE",35,"S","ENE",17,17,85,67,1014.5,1013.3,8,8,22.3,24.3,"No","Yes",25
"36013",2016-01-26,"SydneyAirport",20.1,27.5,17.6,2.4,8.7,"E",37,"NW","E",9,22,88,56,1017.8,1017.2,8,4,21.5,26.6,"Yes","Yes",26
"36014",2016-01-27,"SydneyAirport",20.2,26.4,3.6,9.8,0.5,"NE",48,"NNE","NNE",13,22,72,63,1016.2,1013.9,6,8,23.8,24.4,"Yes","Yes",27
"36015",2016-01-28,"SydneyAirport",21.6,29.4,3.6,5.6,6.7,"NE",41,"N","ENE",19,19,69,60,1008,1004.4,7,7,25,28.5,"Yes","No",28
"36016",2016-01-29,"SydneyAirport",22.1,29.9,0,5,8.2,"NNE",50,"NNE","NE",19,20,69,91,1003.3,1001.7,3,7,26.6,22.1,"No","Yes",29
"36017",2016-01-30,"SydneyAirport",19.7,26.3,6.2,3,3,"WNW",67,"SSW","SSE",13,20,87,86,1004.9,1003,8,7,22.7,24.4,"Yes","Yes",30
"36018",2016-01-31,"SydneyAirport",18.8,31.8,23.8,5.8,10,"N",43,"NW","WNW",13,22,79,22,1004.3,1003.4,1,5,23.2,30.1,"Yes","No",31
"66659",2016-01-01,"MelbourneAirport",20.2,28.7,0,15,2.8,"S",35,"SSW","SSE",19,17,52,37,1013.6,1012.6,7,7,23.1,27.3,"No","No",1
"66660",2016-01-02,"MelbourneAirport",15.7,27.5,0,8,9,"SSE",56,"SW","S",17,35,70,56,1016.5,1012.6,8,5,17.2,24.6,"No","No",2
"66661",2016-01-03,"MelbourneAirport",16.2,28.2,0,8.2,7.8,"SE",41,"SSE","SSE",11,24,64,41,1016.9,1013.7,5,6,19.9,26.7,"No","No",3
"66662",2016-01-04,"MelbourneAirport",14.3,24.5,0,6.4,1.5,"SE",31,"W","ENE",11,15,74,61,1019.3,1017.1,7,7,18,21.6,"No","No",4
"66663",2016-01-05,"MelbourneAirport",14.1,25.6,0.2,4.2,6.6,"NE",37,"W","E",7,9,63,46,1017.5,1014.1,7,7,19.1,24.4,"No","No",5
"66664",2016-01-06,"MelbourneAirport",15.5,25.3,0,5.4,6.1,"S",54,"S","S",17,35,76,56,1017.7,1016.8,7,5,18.5,24.4,"No","No",6
"66665",2016-01-07,"MelbourneAirport",14.6,23.4,0,6.2,11,"SSE",46,"S","S",19,30,71,50,1020.9,1020.5,7,4,18.5,21.7,"No","No",7
"66666",2016-01-08,"MelbourneAirport",13.4,22.8,0,7.4,8.6,"SSE",35,"SSW","S",19,17,60,51,1023.3,1021.7,7,7,16.3,21,"No","No",8
"66667",2016-01-09,"MelbourneAirport",16.1,24.1,0,6.8,8.1,"ESE",37,"SSW","SSE",15,22,75,54,1021.5,1019.9,8,3,16.8,22.4,"No","No",9
"66668",2016-01-10,"MelbourneAirport",15.7,32.1,0,6,10.7,"S",33,"NNE","SSE",9,17,71,26,1017.9,1013.4,5,4,17.5,30.7,"No","No",10
"66669",2016-01-11,"MelbourneAirport",16.7,38.3,0,11.6,6.7,"SSW",76,"N","NW",13,20,22,13,1010.1,1006.2,6,7,29.9,37.4,"No","No",11
"66670",2016-01-12,"MelbourneAirport",15.1,30.3,0.4,7.8,12.2,"S",35,"S","SSE",17,17,70,46,1015.1,1013.9,6,1,19.6,26.3,"No","No",12
"66671",2016-01-13,"MelbourneAirport",15.3,43.6,0,7.6,10.3,"WSW",87,"NE","NW",19,31,33,12,1010.4,1005.3,3,6,30.3,41.3,"No","No",13
"66672",2016-01-14,"MelbourneAirport",16.5,18,0.8,17.6,1.1,"S",54,"SSW","SSW",20,31,73,79,1016.7,1020.8,8,8,16.8,13.9,"No","Yes",14
"66673",2016-01-15,"MelbourneAirport",11.4,19.7,1.4,4.2,5.6,"S",48,"SSE","S",26,30,68,49,1030.4,1029.5,8,7,13.7,18.1,"Yes","No",15
"66674",2016-01-16,"MelbourneAirport",8.7,25,0.6,5.4,13.3,"SSE",33,"SSE","SSE",9,19,56,34,1029.5,1025.5,1,0,15.3,23.1,"No","No",16
"66675",2016-01-17,"MelbourneAirport",12.4,32.8,0,8.6,11.5,"N",57,"N","NE",39,13,38,20,1022.6,1018.7,7,1,22.7,30.7,"No","No",17
"66676",2016-01-18,"MelbourneAirport",20.6,36.5,0,13.6,12.7,"NNE",59,"N","NNE",37,26,19,12,1016,1012.6,2,4,27.9,35.7,"No","No",18
"66677",2016-01-19,"MelbourneAirport",13.3,33.5,0,13.8,7.6,"SSE",31,"S","S",9,13,77,30,1013.7,1009.2,7,6,18.8,32.6,"No","Yes",19
"66678",2016-01-20,"MelbourneAirport",17.5,31,1.8,8.6,5.4,"S",37,"NNE","SSE",13,26,83,58,1010.4,1007.7,8,4,18.6,26.5,"Yes","No",20
"66679",2016-01-21,"MelbourneAirport",18.2,27.5,0.8,4.6,2.2,"SSE",30,"WSW","SSE",11,9,91,67,1009.8,1010.1,8,7,18.9,22.4,"No","No",21
"66680",2016-01-22,"MelbourneAirport",16.5,23.7,0.6,2.8,2,"SW",56,"SSW","NNE",15,17,90,91,1010.8,1008.4,8,8,18.1,20.1,"No","Yes",22
"66681",2016-01-23,"MelbourneAirport",16.2,22.6,5.4,2.2,4.9,"SSE",43,"SSW","S",19,24,86,64,1012.7,1013.6,8,7,17.1,20.7,"Yes","No",23
"66682",2016-01-24,"MelbourneAirport",14.7,23.7,0,4.6,4.7,"S",44,"SSW","S",19,22,91,63,1015.2,1014.4,7,7,16,20.6,"No","Yes",24
"66683",2016-01-25,"MelbourneAirport",15.3,22.3,1.4,5,8.3,"SSE",44,"S","S",20,22,76,47,1016.6,1016.1,7,1,17.2,21.6,"Yes","No",25
"66684",2016-01-26,"MelbourneAirport",14.8,29.6,0,6.2,8.8,"SSE",33,"SE","ENE",7,6,76,30,1017.8,1014.3,7,7,18.6,28.5,"No","No",26
"66685",2016-01-27,"MelbourneAirport",17.8,28.9,0,6.6,5.3,"NNE",63,"NNE","N",13,43,75,45,1010.8,1007.8,7,4,21.1,27.3,"No","No",27
"66686",2016-01-28,"MelbourneAirport",20.9,30.7,0.2,9.6,5.8,"N",61,"N","S",44,17,64,69,1004.3,1001.2,7,7,23.7,24.1,"No","Yes",28
"66687",2016-01-29,"MelbourneAirport",13,19.1,14.6,7.8,1,"S",28,"SSW","SSE",9,13,96,67,1003.4,1001.8,7,7,13.4,18.3,"Yes","Yes",29
"66688",2016-01-30,"MelbourneAirport",11,22.8,7.8,2.8,4.5,"S",33,"WSW","S",13,20,89,53,1006.6,1004.3,7,6,14.6,21.4,"Yes","Yes",30
"66689",2016-01-31,"MelbourneAirport",14.5,20.6,8.8,4.8,8.2,"NNE",56,"NNE","N",31,33,73,58,1000.5,1001.7,7,7,17.1,18.9,"Yes","No",31
"72861",2016-01-01,"Mildura",24.7,35.7,0,11.4,1.1,"WNW",33,"NNW","W",6,22,24,21,1011.2,1010.7,8,8,29,34.1,"No","No",1
"72862",2016-01-02,"Mildura",18.7,33.8,0,11.4,6,"SSW",35,"S","S",20,20,55,29,1012.8,1010.1,8,7,19.8,28.9,"No","No",2
"72863",2016-01-03,"Mildura",19.7,34.1,0,9.2,8.1,"NNE",80,"ENE","SE",17,11,51,25,1011.2,1008.6,2,5,24.6,33.6,"No","Yes",3
"72864",2016-01-04,"Mildura",17.5,28.1,24.8,10,2.8,"SE",72,"SE","SSW",15,13,70,50,1015.2,1013.2,7,6,20,25.8,"Yes","Yes",4
"72865",2016-01-05,"Mildura",16.4,31.6,6.2,5.8,11,"SE",31,"SE","SW",15,19,68,29,1015.2,1012.7,2,3,21.2,29.3,"Yes","No",5
"72866",2016-01-06,"Mildura",17,33.5,0,8,13,"S",39,"ENE","S",9,15,58,25,1015.2,1013.6,1,2,23.4,32,"No","No",6
"72870",2016-01-10,"Mildura",17.5,40.4,0,8.4,12.3,"W",35,"ENE","W",9,13,29,8,1015.7,1012.7,0,3,26.1,39.3,"No","No",10
"72871",2016-01-11,"Mildura",21.7,41.1,0,12.6,7.7,"SSE",44,"NNE","NW",13,17,19,9,1010,1006.5,6,8,30,39.1,"No","No",11
"72872",2016-01-12,"Mildura",21.5,41.1,0,12.2,12,"SE",28,"SE","ESE",17,9,43,16,1011.3,1008.8,3,1,26.9,39.3,"No","No",12
"72873",2016-01-13,"Mildura",24.8,44.5,0,12.2,8.7,"WNW",87,"NNW","W",9,7,24,9,1009,1007,1,8,34.1,43,"No","No",13
"72874",2016-01-14,"Mildura",17.9,23.1,0,16,3,"SSW",46,"SSW","SSW",20,24,63,36,1019.8,1021.6,8,8,18.2,21.2,"No","No",14
"72875",2016-01-15,"Mildura",10.7,27.8,0.2,5.2,11.6,"SE",48,"SSE","SSE",26,24,45,19,1029.9,1021.4,0,0,15,24.9,"No","No",15
"72876",2016-01-16,"Mildura",12.5,32.2,0,12.4,10.6,"SE",30,"SE","SE",17,19,48,19,1025.3,1021,1,2,17.9,30.3,"No","No",16
"72877",2016-01-17,"Mildura",17.9,35.7,0,8,13.1,"NE",31,"NE","S",19,13,30,14,1019.9,1016.1,1,1,25.4,33.4,"No","No",17
"72878",2016-01-18,"Mildura",21.3,39,0,8.4,12.4,"NNW",44,"NNE","N",15,11,28,13,1015.6,1012.4,1,4,27.1,37.1,"No","No",18
"72879",2016-01-19,"Mildura",19.7,41.1,0,11.8,11.3,"N",41,"N","NNW",13,17,25,11,1013,1009.5,1,6,29.7,38.7,"No","No",19
"72880",2016-01-20,"Mildura",27,39.7,0,15.2,9.9,"W",41,"S","WSW",7,19,32,21,1009.2,1007,8,7,29,39,"No","No",20
"72881",2016-01-21,"Mildura",24,31.9,0,12.8,3.4,"SW",30,"W","NNW",17,15,40,53,1010.4,1009,8,8,26.6,28.5,"No","Yes",21
"72883",2016-01-23,"Mildura",18.6,28.9,14.4,2.4,7.7,"S",31,"SSW","SSW",17,15,89,54,1012.8,1013.1,8,6,20.2,26.5,"Yes","No",23
"72884",2016-01-24,"Mildura",16.5,30.1,0,3.6,11,"SSW",31,"SSE","SW",15,20,69,34,1014.7,1012.3,3,4,19.6,27.7,"No","No",24
"72885",2016-01-25,"Mildura",17.3,32.1,0,10.2,13.4,"SE",35,"SSE","SE",20,17,64,30,1014.9,1012.6,1,1,19.9,29.8,"No","No",25
"72886",2016-01-26,"Mildura",16.5,34.3,0,12,11.8,"SE",30,"SSE","SE",19,13,56,20,1014.8,1011.4,1,6,19.9,32.3,"No","No",26
"72887",2016-01-27,"Mildura",19.8,37.8,0,9.4,11,"SSW",33,"SSW","W",9,13,37,12,1008,1005.1,3,0,26.7,36.4,"No","No",27
"72888",2016-01-28,"Mildura",17.7,30.7,0,12,11.3,"SSW",46,"SW","WSW",19,22,68,29,1008.4,1005.1,5,2,19,28.3,"No","No",28
"72889",2016-01-29,"Mildura",15.1,23.6,0,12,7.8,"WNW",35,"WSW","WSW",15,17,61,36,1006.7,1004.2,7,8,16.2,21.2,"No","No",29
"72890",2016-01-30,"Mildura",13.6,23.4,1,5.4,6.7,"SE",39,"SE","SE",13,20,91,54,1003.2,1002.8,7,7,15.4,19.8,"No","No",30
"72891",2016-01-31,"Mildura",13.7,27.6,0.4,7,5.9,"WSW",54,"W","WNW",17,26,70,32,1004.9,1002.8,6,7,17,24.8,"No","No",31
"80457",2016-01-01,"Watsonia",19.5,28.1,0,15,2.8,"WSW",30,"WSW","SW",13,15,54,49,1013,1012.4,7,7,23.9,27.9,"No","No",1
"80458",2016-01-02,"Watsonia",16.7,28.8,0,8,9,"SE",48,"SW","SSE",11,17,73,42,1016.3,1011.9,8,5,18.1,27.8,"No","No",2
"80459",2016-01-03,"Watsonia",16.8,28.2,0,8.2,7.8,"E",35,"ESE","SE",7,17,60,41,1016.6,1013.7,5,6,21.4,27,"No","No",3
"80461",2016-01-05,"Watsonia",17,25.7,0.6,4.2,6.6,"ENE",20,"SW","NE",6,9,65,58,1017.7,1014.3,7,7,19.1,22.4,"No","No",5
"80462",2016-01-06,"Watsonia",15.9,28.4,0.8,5.4,6.1,"SSW",48,"S","SW",9,24,82,54,1017.5,1015.9,7,5,18.6,24.6,"No","No",6
"80463",2016-01-07,"Watsonia",14.5,23.7,0,6.2,11,"SW",41,"SSE","SW",9,24,69,52,1020.8,1020.2,7,4,19.4,22.5,"No","No",7
"80466",2016-01-10,"Watsonia",14.3,35.3,0,6,10.7,"SSW",31,"NNE","SSE",4,9,79,20,1018,1012.9,5,4,16.7,33.1,"No","No",10
"80467",2016-01-11,"Watsonia",16.3,37.7,0,11.6,6.7,"W",65,"E","WNW",7,13,37,15,1010.5,1006.4,6,7,24.9,37.1,"No","Yes",11
"80468",2016-01-12,"Watsonia",15.7,29.5,2.2,7.8,12.2,"SW",31,"SE","SW",11,17,71,47,1014.9,1013.4,6,1,20.1,27.9,"Yes","No",12
"80469",2016-01-13,"Watsonia",15.3,43.8,0,7.6,10.3,"WSW",72,"ESE","WNW",6,22,64,17,1010.8,1005,3,6,23.4,41,"No","Yes",13
"80470",2016-01-14,"Watsonia",15,17.6,4,17.6,1.1,"SSW",54,"SSW","SW",9,26,99,66,1017,1020.5,8,8,15.8,15.8,"Yes","No",14
"80471",2016-01-15,"Watsonia",12.1,20.8,1,4.2,5.6,"SW",39,"SSW","SW",20,22,68,42,1030.4,1029.1,8,7,13.9,19.3,"No","No",15
"80472",2016-01-16,"Watsonia",8.8,25,0,5.4,13.3,"WSW",37,"SSE","WSW",4,17,64,41,1029.5,1025,1,0,15,23.7,"No","No",16
"80473",2016-01-17,"Watsonia",12.8,32.7,0,8.6,11.5,"NNE",33,"ESE","NNW",2,9,71,22,1023.2,1019,7,1,19.5,30.7,"No","No",17
"80474",2016-01-18,"Watsonia",16.4,35.8,0,13.6,12.7,"NNE",43,"E","NNW",9,11,30,15,1016.4,1012.8,2,4,27.5,35.1,"No","No",18
"80475",2016-01-19,"Watsonia",15.3,35.6,0,13.8,7.6,"S",28,"SW","SW",7,13,75,27,1013.4,1008.8,7,6,19.7,33.7,"No","No",19
"80476",2016-01-20,"Watsonia",17.9,33.2,0.8,8.6,5.4,"S",31,"E","SSE",11,9,88,39,1010.4,1006.8,8,4,18,32.5,"No","No",20
"80477",2016-01-21,"Watsonia",17.9,28.8,0.8,4.6,2.2,"SW",26,"SSW","WSW",7,9,91,65,1009.5,1009.9,8,7,20.3,23.6,"No","Yes",21
"80478",2016-01-22,"Watsonia",16.6,22.4,1.4,2.8,2,"W",43,"SSW","ENE",17,9,100,100,1010.6,1008.1,8,8,17.7,19.3,"Yes","Yes",22
"80481",2016-01-25,"Watsonia",14.9,23.4,0,5,8.3,"SW",39,"SSE","SW",13,22,70,51,1016.5,1015.4,7,1,18.2,22,"No","No",25
"80482",2016-01-26,"Watsonia",14.3,30.9,0,6.2,8.8,"S",28,"ENE","S",4,7,81,36,1017.7,1013.7,7,7,18.8,29.3,"No","No",26
"80483",2016-01-27,"Watsonia",18.4,29.9,0,6.6,5.3,"ENE",43,"E","NE",9,17,72,38,1010.8,1007.4,7,4,21.4,28.6,"No","No",27
"80484",2016-01-28,"Watsonia",19.2,29.2,1,9.6,5.8,"WSW",44,"ENE","SW",13,17,60,66,1004.2,1001.1,7,7,24.8,24.1,"No","Yes",28
"80486",2016-01-30,"Watsonia",9.7,24.1,4.6,2.8,4.5,"E",56,"E","SW",6,19,100,58,1006.9,1003.9,7,6,11.7,21.5,"Yes","Yes",30
"80487",2016-01-31,"Watsonia",11.4,21.3,7.6,4.8,8.2,"NNE",44,"ENE","N",13,24,78,59,1000.6,1001.8,7,7,17.3,19.1,"Yes","No",31
"86659",2016-01-01,"Brisbane",19.1,30.8,0,10.4,11.5,"ESE",30,"SSE","E",7,13,46,46,1013.4,1009.7,4,1,25.8,28.2,"No","No",1
"86660",2016-01-02,"Brisbane",18.5,30.1,0,8.8,11.9,"ENE",28,"SE","ENE",6,13,46,43,1011.6,1007.8,1,4,25.7,28.3,"No","No",2
"86661",2016-01-03,"Brisbane",21,28,0,8.8,0.9,"SE",24,"S","E",2,11,64,55,1011.6,1009.5,7,7,23.8,26.4,"No","Yes",3
"86662",2016-01-04,"Brisbane",18.5,26.8,8.8,4,0.5,"ENE",19,"SSW","ENE",6,9,69,69,1012.6,1009.7,7,8,23.5,25.9,"Yes","Yes",4
"86665",2016-01-07,"Brisbane",21.6,30,0,8,13,"NE",28,"E","ENE",7,13,52,53,1010.4,1009.6,3,2,27.7,29.1,"No","No",7
"86667",2016-01-09,"Brisbane",19.4,30.3,0,9.6,12.6,"ENE",26,"WNW","ENE",6,13,57,54,1020.7,1017.2,5,1,26,28.1,"No","No",9
"86668",2016-01-10,"Brisbane",20.6,30.7,0,7.8,10.4,"ENE",24,"W","E",4,15,60,57,1019.2,1015.9,3,2,26.8,28.5,"No","No",10
"86670",2016-01-12,"Brisbane",22.3,31.4,0,8,12.7,"ENE",24,"NE","NE",6,9,57,53,1016.7,1013.6,2,1,28,30.6,"No","No",12
"86671",2016-01-13,"Brisbane",21.8,30.9,0,6.8,11.3,"ENE",22,"NNE","ENE",6,11,56,50,1018.5,1016.9,1,5,28.6,29.7,"No","No",13
"86672",2016-01-14,"Brisbane",20.3,31.1,0,7.8,12.7,"ENE",24,"NNE","NE",6,9,53,53,1018.5,1015.6,2,1,27.6,30,"No","No",14
"86673",2016-01-15,"Brisbane",21.9,31.9,0,9.2,10.8,"SE",39,"SSW","E",4,19,57,58,1016.3,1013.9,4,4,28.5,29.3,"No","No",15
"86674",2016-01-16,"Brisbane",18.7,26.4,1,8.8,0,"ESE",31,"SSW","ESE",4,15,86,53,1021.1,1019,8,7,20.1,25.1,"No","No",16
"86675",2016-01-17,"Brisbane",18,28.3,0,6.2,10.1,"ESE",35,"SE","SE",13,15,48,45,1020.5,1017.8,5,4,26.1,26.7,"No","No",17
"86676",2016-01-18,"Brisbane",19.7,28.6,0,9,12.4,"E",26,"SSE","E",9,13,47,45,1018.8,1016.2,6,3,25.6,26.8,"No","No",18
"86677",2016-01-19,"Brisbane",18.4,29.9,0,9.2,12.7,"ENE",24,"WNW","NE",4,11,54,49,1019.3,1015.4,4,6,25.4,28.5,"No","No",19
"86678",2016-01-20,"Brisbane",19.3,30.5,0,8,12.8,"NE",30,"NE","NNE",6,9,52,48,1018.3,1014.6,3,1,27.2,29.2,"No","No",20
"86679",2016-01-21,"Brisbane",21.7,30.7,0,8,12.9,"NE",28,"NNE","NE",7,13,50,51,1016.8,1013.6,3,3,27.6,29.5,"No","No",21
"86680",2016-01-22,"Brisbane",21.3,32.7,0,10.8,11.7,"NE",28,"NW","NE",6,11,48,52,1014.7,1010.5,5,6,27.8,30.3,"No","No",22
"86681",2016-01-23,"Brisbane",23.2,30.1,0,10,2.5,"WSW",26,"N","ENE",6,6,56,69,1008.9,1006.3,7,8,27.8,27.8,"No","Yes",23
"86682",2016-01-24,"Brisbane",21.1,31.8,10.2,3,9.1,"E",31,"SSE","E",7,17,64,57,1010.9,1008.6,7,4,28,29.1,"Yes","No",24
"86683",2016-01-25,"Brisbane",21.9,30.8,0,8.6,6.6,"ENE",30,"E","ENE",6,17,70,61,1013.6,1010.4,7,7,27.1,28.6,"No","Yes",25
"86684",2016-01-26,"Brisbane",23,28.5,2,7,2.6,"ESE",28,"SSW","E",4,15,82,70,1014.5,1013.7,7,8,25,26,"Yes","No",26
"86685",2016-01-27,"Brisbane",20.6,29.4,0.4,4,9.5,"ENE",22,"SSE","ENE",4,9,63,57,1015.5,1012,6,7,26.3,27.3,"No","No",27
"86686",2016-01-28,"Brisbane",23.2,29.9,0.2,7,0.3,"NE",22,"NNW","NNE",6,6,70,73,1010.9,1006.5,8,7,25.6,26.9,"No","Yes",28
"86687",2016-01-29,"Brisbane",23.3,35.7,1.8,2.6,6.1,"ENE",28,"NNE","NE",4,9,69,74,1005.1,1001.4,3,7,29.6,29.3,"Yes","Yes",29
"86688",2016-01-30,"Brisbane",23.2,30.8,1.2,6.2,1.2,"NNE",24,"NNE","NE",7,7,70,84,1007.3,1005.8,7,7,29,28.1,"Yes","Yes",30
"86689",2016-01-31,"Brisbane",23.6,34,2.6,3.6,8.4,"NNE",33,"NNW","NNE",7,13,62,60,1010.1,1006.1,6,5,29.6,32.8,"Yes","No",31
